Código,Descripción,Marca,Modelo,Precio USD,Referencia,Proveedor,Imagen
15656416,YOKE PIÑÓN/CAJA CHEVROLET KODIAK,DRC,,30.82,44.07,PS-00001,/Uploads/Sanchez Import/Fotos_Sanchez_Import/willcars-1.jpg
2-4-8081-1,YOKE PIÑÓN D-44 C-369 / 521 S/DEFLECT,DRC,,12.01,17.18,PS-00001,/Uploads/Sanchez Import/Fotos_Sanchez_Import/test5.jpg
2-4-8091X,YOKE PIÑÓN D-44 / F-150 / C-10,DRC,,13.51,19.32,PS-00001,/Uploads/Sanchez Import/Fotos_Sanchez_Import/test5.jpg
3-4-2002T,YOKE PIÑÓN INTERMEDIO C-330 NPR D-8,DRC,,42.90,61.35,PS-00001,/Uploads/Sanchez Import/Fotos_Sanchez_Import/test5.jpg
3-4-2008,YOKE PIÑÓN NPR FRENO DE AIRE 16 ESTRÍAS PARA CRUCETA 330 (YOKE SPEED NPR),DRC,,42.90,61.35,PS-00001,/Uploads/Sanchez Import/Fotos_Sanchez_Import/test5.jpg
3-4-5731X,YOKE PIÑÓN C-30 CRUCETA 331,DRC,,16.23,23.21,PS-00001,/Uploads/Sanchez Import/Fotos_Sanchez_Import/test5.jpg
3-4-5791X,YOKE PIÑÓN FORD F-750 / REF.42200,DRC,,30.03,42.94,PS-00001,/Uploads/Sanchez Import/Fotos_Sanchez_Import/test5.jpg
73169-1X,YOKE PIÑÓN FORD SUPPER DUTTY,DRC,,51.48,73.62,PS-00001,/Uploads/Sanchez Import/Fotos_Sanchez_Import/test5.jpg
73169X,YOKE PIÑÓN TRITON,DRC,,54.34,77.71,PS-00001,/Uploads/Sanchez Import/Fotos_Sanchez_Import/test5.jpg
FL-TY001C,FLANGE BRIDA REDONDA 4 HUECOS DE DIFERENCIAL 60MM 27 ESTRIAS,MAHIRO,,17.16,24.54,PS-00001,/Uploads/Sanchez Import/Fotos_Sanchez_Import/test5.jpg
FL-TY001G,FLANGE BRIDA REDONDA 4 HUECOS DE DIFERENCIAL 66MM 27 ESTRIAS,MAHIRO,,17.16,24.54,PS-00001,/Uploads/Sanchez Import/Fotos_Sanchez_Import/test5.jpg
V-2264,YOKE PIÑÓN 4.5 DANA 4 HUECOS,DRC,,21.45,30.67,PS-00001,/Uploads/Sanchez Import/Fotos_Sanchez_Import/test5.jpg
FL-EN001,YOKE DE PIÑÓN ENCAVA 16T 93X52MM 4 HUECOS,MAHIRO,,39.47,56.44,PS-00001,/Uploads/Sanchez Import/Fotos_Sanchez_Import/test5.jpg


2-3-4951KX,YOKE DESLIZANTE F-100/JEEP/TOYOTA,DRC,,28.60,40.90,PS-00001,/Uploads/Sanchez Import/Fotos_Sanchez_Import/test5.jpg
2-3-4951L,YOKE LARGO PARA CRUCETA 369 220MM,DRC,,50.05,71.57,PS-00001,/Uploads/Sanchez Import/Fotos_Sanchez_Import/test5.jpg
2-2-7681CG,YOKE DESLIZANTE F-350 CON GUÍA,DRC,,35.75,51.12,PS-00001,/Uploads/Sanchez Import/Fotos_Sanchez_Import/test5.jpg
2-3-7681KX,YOKE DESLIZANTE F-350 SIN GUÍA,DRC,,35.75,51.12,PS-00001,/Uploads/Sanchez Import/Fotos_Sanchez_Import/test5.jpg
3-3-118KX,YOKE DESLIZANTE F-600 LARGO C-330,DRC,,50.05,71.57,PS-00001,/Uploads/Sanchez Import/Fotos_Sanchez_Import/test5.jpg
3-3-1601KX,YOKE DESLIZANTE FORD-750,DRC,,41.47,59.30,PS-00001,/Uploads/Sanchez Import/Fotos_Sanchez_Import/test5.jpg
3-3-849,YOKE DESLIZANTE FORD TRITON ORIG.,DRC,,57.20,81.80,PS-00001,/Uploads/Sanchez Import/Fotos_Sanchez_Import/test5.jpg
4-3-1241X,YOKE DESLIZANTE FORD-7000,DRC,,34.53,49.38,PS-00001,/Uploads/Sanchez Import/Fotos_Sanchez_Import/test5.jpg
5-3-2261,YOKE DESLIZANTE LARGO PARA CRUCETA 279 MACK/CARGO 1721,DRC,,71.50,102.24,PS-00001,/Uploads/Sanchez Import/Fotos_Sanchez_Import/test5.jpg
6-3-2651,YOKE DESLIZANTE LARGO PARA CRUCETA 280 MACK,DRC,,143.00,204.49,PS-00001,/Uploads/Sanchez Import/Fotos_Sanchez_Import/test5.jpg
KYE0023,KIT DE YOKE Y ESPIGA INTERMEDIA 34T CARGO 1721/MACK CRUCETA 279 PARA TUBO DE 3'' 1/2 (ESPIGA 5-53-261; YOKE 5-4-7171-1),DRC,,130.13,186.09,
KYE0024,KIT DE YOKE Y ESPIGA INTERMEDIA 16T PARA CRUCETA 280/675 PARA TUBO DE 4'' (ESPIGA 6-53-311; YOKE 6-40-4601),DRC,,200.20,286.29,
Y-E-GUT-20,KIT DE YOKE Y ESPIGA DESLIZANTE PARA CRUCETA GUT-20,DRC,,72.93,104.29,PS-00001,/Uploads/Sanchez Import/Fotos_Sanchez_Import/test5.jpg
2-3-12051X,YOKE CAJA BLAZER/SILVERADO,DRC,,15.01,21.47,PS-00001,/Uploads/Sanchez Import/Fotos_Sanchez_Import/test5.jpg
2-3-14791X,YOKE CAJA GRAND CHEROKEE AUTOM. 4X2 DODGE CAPA 727-904,DRC,,18.02,25.77,PS-00001,/Uploads/Sanchez Import/Fotos_Sanchez_Import/test5.jpg
2-3-6361X,YOKE CAJA CHEVROLET-350,DRC,,13.51,19.32,PS-00001,/Uploads/Sanchez Import/Fotos_Sanchez_Import/test5.jpg
2-3-7451X,YOKE CAJA FORD C-6,DRC,,22.52,32.21,PS-00001,/Uploads/Sanchez Import/Fotos_Sanchez_Import/test5.jpg
3911056,YOKE CAJA MURCIA/C-30,DRC,,25.53,36.50,PS-00001,/Uploads/Sanchez Import/Fotos_Sanchez_Import/test5.jpg
2-3-9011,YOKE CAJA CHEVETTE,DRC,,13.51,19.32,PS-00001,/Uploads/Sanchez Import/Fotos_Sanchez_Import/test5.jpg
2-4-4441,YOKE CAJA DODGE D-100/D-300,DRC,,13.51,19.32,PS-00001,/Uploads/Sanchez Import/Fotos_Sanchez_Import/test5.jpg
3-4-10941,YOKE CAJA DODGE(2-4-4441)C-330,DRC,,15.01,21.47,PS-00001,/Uploads/Sanchez Import/Fotos_Sanchez_Import/test5.jpg
E1TZ-198,YOKE CAJA F-350/T-18/C-354,DRC,,22.52,32.21,PS-00001,/Uploads/Sanchez Import/Fotos_Sanchez_Import/test5.jpg
2-40-1521,ESPIGA TOYOTA PARA TUBO DE 3 (VARIAS PAREJAS),DRC,,31.46,44.99,PS-00001,/Uploads/Sanchez Import/Fotos_Sanchez_Import/test5.jpg
2-40-1711,ESPIGA TOYOTA PARA TUBO DE 2 1/2 (PAREJA: 2-3-4951),DRC,,21.74,31.08,PS-00001,/Uploads/Sanchez Import/Fotos_Sanchez_Import/test5.jpg
2-40-1711L,ESPIGA TOYOTA PARA TUBO DE 2 1/2 LARGA 25CM DE LARGO (PAREJA: 2-3-4951),DRC,,35.75,51.12,PS-00001,/Uploads/Sanchez Import/Fotos_Sanchez_Import/test5.jpg
2-40-1711M,ESPIGA TOYOTA PARA TUBO DE 3'' 1/2 21CM DE LARGO (PAREJA: 2-3-4951),DRC,,27.60,39.47,PS-00001,/Uploads/Sanchez Import/Fotos_Sanchez_Import/test5.jpg
2-53-2002KX,ESPIGA INTERMEDIA NPR 3 PARA CRUCETA 330 (PAREJA: 3-4-2002T),DRC,,42.90,61.35,PS-00001,/Uploads/Sanchez Import/Fotos_Sanchez_Import/test5.jpg
2-53-501,ESPIGA F-350 C-30 S/GUIA PARA TUBO DE 3 (PAREJA: 2-3-7681),DRC,,28.60,40.90,PS-00001,/Uploads/Sanchez Import/Fotos_Sanchez_Import/test5.jpg
2-53-711/2-53-1131,ESPIGA F-350 LARGA (IGUAL A LA CON GUÍA PERO SIN GUÍA) PARA TUBO DE 3 (PAREJA: 2-3-7681),DRC,,34.32,49.08,PS-00001,/Uploads/Sanchez Import/Fotos_Sanchez_Import/test5.jpg
3-40-2697,ESPIGA FORD TRITON/SUPER DUTY 4X4/ PARA TUBO DE 3 1/2 (PAREJA: 3-3-849),DRC,,57.20,81.80,PS-00001,/Uploads/Sanchez Import/Fotos_Sanchez_Import/test5.jpg
3-53-1031 (HPT-621),ESPIGA F-600 PARA TUBO DE 3 (HPT-621) (PAREJA: 3-3-118KX),DR,C,50.05,71.57,PS-00001,/Uploads/Sanchez Import/Fotos_Sanchez_Import/test5.jpg
3-53-1191,ESPIGA F-750 PARA TUBO 4 (PAREJA: 3-3-1601KX),DRC,,50.05,71.57,PS-00001,/Uploads/Sanchez Import/Fotos_Sanchez_Import/test5.jpg
3-53-279,ESPIGA FORD TRITON/SUPER DUTY 4X2/ PARA TUBO DE 3 1/2 (PAREJA: 3-3-849),DRC,,57.20,81.80,PS-00001,/Uploads/Sanchez Import/Fotos_Sanchez_Import/test5.jpg
3-53-451,ESPIGA F-750 PARA TUBO DE 3 1/2 (PAREJA: 3-3-1601KX),DRC,,42.90,61.35,PS-00001,/Uploads/Sanchez Import/Fotos_Sanchez_Import/test5.jpg
3-53-ENCA,ESPIGA INTERMEDIA ENCAVA PARA TUBO DE 3 1/2,DRC,,42.90,61.35,PS-00001,/Uploads/Sanchez Import/Fotos_Sanchez_Import/test5.jpg
5-40-1051,ESPIGA PARA TUBO 4 CARGO 1721 (PAREJA: 5-3-2261),DRC,,,64.35,92.02,PS-00001,/Uploads/Sanchez Import/Fotos_Sanchez_Import/test5.jpg
6-40-521,ESPIGA PARA TUBO 4 MACK (PAREJA: 6-3-2651),DRC,,88.66,126.78,PS-00001,/Uploads/Sanchez Import/Fotos_Sanchez_Import/test5.jpg
HPT-621,ESPIGA F-600 PARA TUBO DE 3 1/2 (HPT-621 3'' 1/2) (PAREJA: 3-3-118KX),DRC,,57.20,81.80,PS-00001,/Uploads/Sanchez Import/Fotos_Sanchez_Import/test5.jpg
607,RÓTULA DE CARDÁN PARA CRUCETA 369/521/5-153X (OJO BIÓNICO INTERNO),DRC,,42.90,61.35,PS-00001,/Uploads/Sanchez Import/Fotos_Sanchez_Import/test5.jpg
608,RÓTULA DE CARDÁN PARA CRUCETA  354/5-273X (OJO BIÓNICO INTERNO),DRC,,45.76,65.44,PS-00001,/Uploads/Sanchez Import/Fotos_Sanchez_Import/test5.jpg
609,RÓTULA DE CARDÁN PARA CRUCETA 331/5-178X (OJO BIÓNICO INTERNO),DRC,,51.48,73.62,PS-00001,/Uploads/Sanchez Import/Fotos_Sanchez_Import/test5.jpg
2-28-1697,OREJA F-350 3,DRC,,13.01,18.61,PS-00001,/Uploads/Sanchez Import/Fotos_Sanchez_Import/test5.jpg
2-28-367,OREJA 521/369 2 1/2,DRC,,12.87,18.40,PS-00001,/Uploads/Sanchez Import/Fotos_Sanchez_Import/test5.jpg
2-28-427,OREJA 521/369 3 1/2,DRC,,13.59,19.43,PS-00001,/Uploads/Sanchez Import/Fotos_Sanchez_Import/test5.jpg
2-28-437,OREJA 521/369 3,DRC,,12.87,18.40,PS-00001,/Uploads/Sanchez Import/Fotos_Sanchez_Import/test5.jpg
2-28-G20,OJERA PARA CRUCETA GUT-20 PARA TUBO 2 3/4,DRC,,17.16,24.54,PS-00001,/Uploads/Sanchez Import/Fotos_Sanchez_Import/test5.jpg
3-28-307,OREJA F-750 4,DRC,,18.02,25.77,PS-00001,/Uploads/Sanchez Import/Fotos_Sanchez_Import/test5.jpg
3-28-537,OREJA F-750 31/2,DRC,,16.23,23.21,PS-00001,/Uploads/Sanchez Import/Fotos_Sanchez_Import/test5.jpg
3-28-57,OREJA C-30 3 C331,DRC,,18.59,26.58,PS-00001,/Uploads/Sanchez Import/Fotos_Sanchez_Import/test5.jpg
3-28-97,OREJA F-600 C-60 3,DRC,,17.16,24.54,PS-00001,/Uploads/Sanchez Import/Fotos_Sanchez_Import/test5.jpg
4-28-307,OREJA F-7000 KODIAK C-358 31/2,DRC,,21.66,30.98,PS-00001,/Uploads/Sanchez Import/Fotos_Sanchez_Import/test5.jpg
2-2-1209,FLANCHE TOYOTA C-354,DRC,,17.16,24.54,PS-00001,/Uploads/Sanchez Import/Fotos_Sanchez_Import/test5.jpg
2-2-1289C,FLANCHE TOYOTA C-369/521,DRC,,17.16,24.54,PS-00001,/Uploads/Sanchez Import/Fotos_Sanchez_Import/test5.jpg
2-2-1659,FLANCHE TOYOTA C-354,DRC,,17.16,24.54,PS-00001,/Uploads/Sanchez Import/Fotos_Sanchez_Import/test5.jpg
2-2-1679,FLANCHE TOYOTA C-369/521,DR,C,17.16,24.54,PS-00001,/Uploads/Sanchez Import/Fotos_Sanchez_Import/test5.jpg
2-2-479,FLANCHE TOYOTA C-369/521,DRC,,17.16,24.54,PS-00001,/Uploads/Sanchez Import/Fotos_Sanchez_Import/test5.jpg
2-2-919C,FLANCHE TOYOTA C-369/521,DRC,,17.16,24.54,PS-00001,/Uploads/Sanchez Import/Fotos_Sanchez_Import/test5.jpg
2-2-G20,FLANCHE PARA CRUCETA GUT-20,DRC,,20.02,28.63,PS-00001,/Uploads/Sanchez Import/Fotos_Sanchez_Import/test5.jpg
3-2-10021T,FLANCHE NPR C-330,DRC,,25.74,36.81,PS-00001,/Uploads/Sanchez Import/Fotos_Sanchez_Import/test5.jpg
3-2-159,FLANCHE 2 3/4,DRC,,18.59,26.58,PS-00001,/Uploads/Sanchez Import/Fotos_Sanchez_Import/test5.jpg
3-2-1839,FLANCHE FORD SUPER DUTY C-330,DRC,,35.75,51.12,PS-00001,/Uploads/Sanchez Import/Fotos_Sanchez_Import/test5.jpg
3-3-811,FLANCHE FORD TRITON/SUPER DUTY,DRC,,24.31,34.76,PS-00001,/Uploads/Sanchez Import/Fotos_Sanchez_Import/test5.jpg
V-2789,FLANCHE TOYOTA C-369,DRC,,17.16,24.54,PS-00001,/Uploads/Sanchez Import/Fotos_Sanchez_Import/test5.jpg
922014,MUÑECO (BOLA) CARDÁN DOBLE CRUCETA MERU-PRADO,DRC,,135.85,194.27,PS-00001,/Uploads/Sanchez Import/Fotos_Sanchez_Import/test5.jpg
37140-87404,CARDÁN DELANTERO TERIOS ,DRC,,114.40,163.59,PS-00001,/Uploads/Sanchez Import/Fotos_Sanchez_Import/test5.jpg
